,Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal,process_date
0,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100M Freestyle,Gold,2025-07-16
1,1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100M Freestyle,Silver,2025-07-16
2,1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze,2025-07-16
3,1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100M Freestyle For Sailors,Gold,2025-07-16
4,1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100M Freestyle For Sailors,Silver,2025-07-16
5,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200M Freestyle,Bronze,2025-07-16
6,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200M Freestyle,Gold,2025-07-16
7,1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200M Freestyle,Silver,2025-07-16
8,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400M Freestyle,Bronze,2025-07-16
9,1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400M Freestyle,Gold,2025-07-16
10,1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400M Freestyle,Silver,2025-07-16
11,1896,Athens,Athletics,Athletics,"LANE, Francis",USA,Men,100M,Bronze,2025-07-16
12,1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100M,Bronze,2025-07-16
13,1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,100M,Gold,2025-07-16
14,1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100M,Silver,2025-07-16
15,1896,Athens,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110M Hurdles,Gold,2025-07-16
16,1896,Athens,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110M Hurdles,Silver,2025-07-16
17,1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500M,Bronze,2025-07-16
18,1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500M,Gold,2025-07-16
19,1896,Athens,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500M,Silver,2025-07-16
20,1896,Athens,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400M,Bronze,2025-07-16
21,1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,400M,Gold,2025-07-16
22,1896,Athens,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400M,Silver,2025-07-16
23,1896,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800M,Bronze,2025-07-16
24,1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800M,Gold,2025-07-16
25,1896,Athens,Athletics,Athletics,"DANI, Nandor",HUN,Men,800M,Silver,2025-07-16
26,1896,Athens,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,Discus Throw,Bronze,2025-07-16
27,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Discus Throw,Gold,2025-07-16
28,1896,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,Discus Throw,Silver,2025-07-16
29,1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,High Jump,Gold,2025-07-16
30,1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,High Jump,Silver,2025-07-16
31,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,High Jump,Silver,2025-07-16
32,1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,Long Jump,Bronze,2025-07-16
33,1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,Long Jump,Gold,2025-07-16
34,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Long Jump,Silver,2025-07-16
35,1896,Athens,Athletics,Athletics,"KELLNER, Gyula",HUN,Men,Marathon,Bronze,2025-07-16
36,1896,Athens,Athletics,Athletics,"LOUIS, Spyridon",GRE,Men,Marathon,Gold,2025-07-16
37,1896,Athens,Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Men,Marathon,Silver,2025-07-16
38,1896,Athens,Athletics,Athletics,"DAMASKOS, Evangelos",GRE,Men,Pole Vault,Bronze,2025-07-16
39,1896,Athens,Athletics,Athletics,"THEODOROPOULOS, Ioannis",GRE,Men,Pole Vault,Bronze,2025-07-16
40,1896,Athens,Athletics,Athletics,"HOYT, William Welles",USA,Men,Pole Vault,Gold,2025-07-16
41,1896,Athens,Athletics,Athletics,"TYLER, Albert",USA,Men,Pole Vault,Silver,2025-07-16
42,1896,Athens,Athletics,Athletics,"PAPASIDERIS, Georgios",GRE,Men,Shot Put,Bronze,2025-07-16
43,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Shot Put,Gold,2025-07-16
44,1896,Athens,Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Men,Shot Put,Silver,2025-07-16
45,1896,Athens,Athletics,Athletics,"PERSAKIS, Ioannis",GRE,Men,Triple Jump,Bronze,2025-07-16
46,1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,Triple Jump,Gold,2025-07-16
47,1896,Athens,Athletics,Athletics,"TUFFERI, Alexandre",FRA,Men,Triple Jump,Silver,2025-07-16
48,1896,Athens,Cycling,Cycling Road,"BATTEL, Edward",GBR,Men,Individual Road Race,Bronze,2025-07-16
49,1896,Athens,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",GRE,Men,Individual Road Race,Gold,2025-07-16
50,1896,Athens,Cycling,Cycling Road,"GOEDRICH, August",GER,Men,Individual Road Race,Silver,2025-07-16
51,1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,100KM,Gold,2025-07-16
52,1896,Athens,Cycling,Cycling Track,"KOLETTIS, Georgios",GRE,Men,100KM,Silver,2025-07-16
53,1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,10KM,Bronze,2025-07-16
