,Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
8018,1952,Helsinki,Aquatics,Diving,"HAASE, Günther",GER,Men,10M Platform,Bronze
8019,1952,Helsinki,Aquatics,Diving,"LEE, Samuel",USA,Men,10M Platform,Gold
8020,1952,Helsinki,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,10M Platform,Silver
8024,1952,Helsinki,Aquatics,Diving,"CLOTWORTHY, Robert Lynn",USA,Men,3M Springboard,Bronze
8025,1952,Helsinki,Aquatics,Diving,"BROWNING, David Grieg Jr.",USA,Men,3M Springboard,Gold
8026,1952,Helsinki,Aquatics,Diving,"ANDERSON, Miller Altman",USA,Men,3M Springboard,Silver
8030,1952,Helsinki,Aquatics,Swimming,"TAYLOR, Jack George Neil",USA,Men,100M Backstroke,Bronze
8031,1952,Helsinki,Aquatics,Swimming,"OYAKAWA, Yoshinobu",USA,Men,100M Backstroke,Gold
8032,1952,Helsinki,Aquatics,Swimming,"BOZON, Gilbert",FRA,Men,100M Backstroke,Silver
8036,1952,Helsinki,Aquatics,Swimming,"LARSSON, Göran",SWE,Men,100M Freestyle,Bronze
8037,1952,Helsinki,Aquatics,Swimming,"SCHOLES, Clark Currie",USA,Men,100M Freestyle,Gold
8038,1952,Helsinki,Aquatics,Swimming,"SUZUKI, Hiroshi",JPN,Men,100M Freestyle,Silver
8042,1952,Helsinki,Aquatics,Swimming,"OKAMOTO, Tetsuo",BRA,Men,1500M Freestyle,Bronze
8043,1952,Helsinki,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,1500M Freestyle,Gold
8044,1952,Helsinki,Aquatics,Swimming,"HASHIZUME, Shiro",JPN,Men,1500M Freestyle,Silver
8045,1952,Helsinki,Aquatics,Swimming,"KLEIN, Herbert",GER,Men,200M Breaststroke,Bronze
8046,1952,Helsinki,Aquatics,Swimming,"DAVIES, John Griffith",AUS,Men,200M Breaststroke,Gold
8047,1952,Helsinki,Aquatics,Swimming,"STASSFORTH, Bowen Dow",USA,Men,200M Breaststroke,Silver
8051,1952,Helsinki,Aquatics,Swimming,"ÖSTRAND, Per-Olof",SWE,Men,400M Freestyle,Bronze
8052,1952,Helsinki,Aquatics,Swimming,"BOITEUX, Jean",FRA,Men,400M Freestyle,Gold
8053,1952,Helsinki,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,400M Freestyle,Silver
8069,1952,Helsinki,Aquatics,Swimming,"BERNARDO, Joseph",FRA,Men,4X200M Freestyle Relay,Bronze
8070,1952,Helsinki,Aquatics,Swimming,"BOITEUX, Jean",FRA,Men,4X200M Freestyle Relay,Bronze
8071,1952,Helsinki,Aquatics,Swimming,"EMINENTE, Aldo",FRA,Men,4X200M Freestyle Relay,Bronze
8072,1952,Helsinki,Aquatics,Swimming,"JANY, Alexandre",FRA,Men,4X200M Freestyle Relay,Bronze
8073,1952,Helsinki,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,4X200M Freestyle Relay,Gold
8074,1952,Helsinki,Aquatics,Swimming,"MCLANE, James Price Jr.",USA,Men,4X200M Freestyle Relay,Gold
8075,1952,Helsinki,Aquatics,Swimming,"MOORE, Wayne Richard",USA,Men,4X200M Freestyle Relay,Gold
8076,1952,Helsinki,Aquatics,Swimming,"WOOLSEY, William Tripp",USA,Men,4X200M Freestyle Relay,Gold
8077,1952,Helsinki,Aquatics,Swimming,"GOTO, Toru",JPN,Men,4X200M Freestyle Relay,Silver
8078,1952,Helsinki,Aquatics,Swimming,"HAMAGUCHI, Yoshihiro",JPN,Men,4X200M Freestyle Relay,Silver
8079,1952,Helsinki,Aquatics,Swimming,"SUZUKI, Hiroshi",JPN,Men,4X200M Freestyle Relay,Silver
